Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Queijo. prato,8,6,6,5,0.05,0,0.04,0.04,0.74,0.01,18.2,160,69,1.55,0.05,0,93.6,5.52,5.58,0.01,0,15.9,4.83,0.04,0,2.62,110,0,8.87,24.4,25.6,0.5,0,0,0.01,0.67,1.36,0.11,3.26,0.17,0
Queijo. provolone,8,5,5,3,0.05,0,0.43,0.43,0.94,0.01,13.8,151,70,2,0.1,0,99.2,5.32,5.6,0,0.03,27.6,5.12,0.06,0,0,175,0,8.19,47.2,0,0.29,0.01,0,0.1,0.65,1.48,0.15,3.44,0,0
Queijo. requeijão (média de diferentes amos0as),9,4,4,3,0.69,0.00,3.03,3.03,2.46,0.05,80.2,283,281,11.8,0.13,0.00,488,25.5,10.8,0.02,0,101,9.91,0.21,0,13.0,608,0,59.1,213,214,0.39,0,0,0.45,1.40,6.97,0.33,14.9,0.72,0.00
Queijo. ricota,8,6,6,6,0.02,0,1.14,1.14,0.58,0,14.6,76,41,3.36,0.04,0,48.5,2.43,3.54,0,0,33.7,3.78,0.04,0,0,84.8,0,22.1,16.4,16.9,0.1,0,0,0.04,0.14,0.72,0.06,1.35,0.08,0
Quiabo. c/ casca. cozido. dre0do. c/ óleo de soja. c/ sal,5,9,9,3,0.44,0.00,1.89,4.93,0.73,0.12,0.00,76.3,41,41.7,0.20,3.05,35.9,2.50,21.5,0.30,0,89.0,1.28,0,0.32,0.19,128,0.05,90.6,17.0,34.1,0.00,0.01,2.60,0.00,0.32,0.57,1.46,0.39,0.01,0.00
Quiche. alho0poró. assado. c/ sal,8,9,9,6,0.92,0.21,17.4,18.2,1.41,0.07,84.5,136,265,59.1,1.48,0.83,143,18.5,16.0,0.13,0.74,132,6.76,0.17,0.47,3.81,282,0.08,55.1,156,152,0.36,0.05,0.70,0.40,0.79,4.72,1.13,9.92,0.49,0.00
Quiche. espi0fre. assado. c/ sal,8,9,9,6,1.00,0.21,13.6,14.6,1.44,0.07,113,134,262,69.6,1.41,1.01,150,19.7,17.8,0.20,0.19,126,7.09,0.14,0.47,3.74,311,0.08,57.2,167,188,0.33,0.05,0.34,0.65,0.84,5.03,0.59,10.6,0.57,0.00
Rabada bovi0 com batata e agrião. c/ molho de tomate (tomate. c/ óleo. cebola e alho). pimentão. c/ óleo. cebola e alho. c/ pimenta do reino. c/ sal,4,10,10,10,0.72,0,4.07,5.23,1.29,0.06,32.5,21.2,235,5.92,1.66,1.17,20.6,18.4,11.9,0.09,1.05,192,13,0.18,0.5,0.17,294,0.06,72.1,25.2,50.4,0,0.05,12,0,2.79,8.73,1.88,6.51,0.01,0
Raba0da,10,4,4,4,0.50,18.0,36.9,37.5,1.10,0.09,51.8,82.0,314,31.8,1.38,0.65,99.6,15.8,14.2,0.12,1.68,146,5.83,0.38,0,7.00,235,0.12,39.7,50.8,51.4,0.33,0.14,0,0.21,0.63,4.02,7.55,3.68,0.12,0.00
Rabanete. c/ casca. cozido. dre0do. s/ óleo. c/ sal,6,8,8,2,0.00,0.00,1.19,2.99,1.03,0.02,0.00,19.6,14,12.9,0.26,1.80,22.3,0.08,5.33,0.06,0,146,1.12,0.01,0.32,0.09,133,0.04,94.8,0.23,0.46,0.00,0.03,3.82,0.00,0.14,0.01,0.04,0.02,0.00,0.00
Rúcula. cozida. s/ óleo. c/ sal,6,8,8,6,0.09,0.00,0.33,3.13,1.64,0.08,0.00,123,20,0.00,1.17,2.80,36.2,0.14,27.5,0.31,0.48,342,2.86,0.00,0.32,0.27,135,0.06,92.2,324,649,0.00,0.00,39.9,0.00,0.36,0.01,0.07,0.02,0.00,0.00
Ratatouille. vegetais assados. c/ sal,6,10,10,5,0.61,0.00,3.06,5.08,1.12,0.09,0.00,19.4,76,18.2,0.46,2.03,31.7,6.05,18.2,0.11,0.16,263,1.29,0.05,0.47,0.13,251,0.04,86.5,41.4,70.5,0.00,0.04,11.7,0.00,0.19,3.93,1.10,0.91,0.00,0.00
Repolho. branco. cozido. dre0do. s/ óleo. c/ sal,4,8,8,3,0.79,0.00,2.76,4.04,0.52,0.05,0.00,37.1,23,24.7,0.11,1.28,14.9,0.34,6.70,0.15,0,103,1.54,0.02,0.32,0.00,130,0,93.6,55.7,111,0.00,0.04,8.69,0.00,0.13,0.11,0.13,0.00,0.00,0.00
Repolho. roxo. cozido. dre0do. s/ óleo. c/ sal,4,8,8,6,0.12,0.00,4.33,6.92,0.94,0.05,0.00,41.9,29,23.9,0.66,2.59,32.9,0.09,16.9,0.22,0.38,261,1.51,0.06,0.32,2.29,155,0.07,90.6,0,0,0.00,0.22,34.3,0.00,0.25,0.01,0.04,0.01,0.00,0.00
Romã. in 0tura,9,6,6,3,0,0,35.2,37.2,1.21,0.45,0,11.4,146,0,0.62,1.05,96.6,0,30.5,0.32,0,1162,0.97,0.41,0,0,1.42,0.28,201,0,0,0,0.12,19.5,0,1.61,0,0,0,0,0
Salada de frutas,10,5,5,5,0.52,0,9.75,11.1,0.39,0.25,0.00,8.31,45,17.4,0.33,1.35,9.24,0.13,8.51,0.03,0.17,147,0.63,0.01,0,0.17,4.87,0.01,87.7,30.9,61.8,0.00,0.01,29.1,0.00,0.08,0.02,0.04,0.04,0.00,0.00
Salada de legumes. cozidos no vapor. c/ sal,5,8,8,3,0.36,0.00,4.55,7.07,1.08,0.17,0.00,32.9,34,23.4,0.44,2.50,44.6,0.31,18.5,0.24,0,243,2.00,0.03,0.32,0.00,190,0.05,89.6,253,507,0.00,0.03,29.2,0.00,0.30,0,0.16,0.06,0.00,0.00
Salaminho. porco,10,5,7,6,0,0,0.2,0.2,0.32,0,3.08,4.16,16,0.1,0.06,0,16.9,1.11,1.43,0,0.6,26.2,1.5,0.01,0,0,75.3,0.04,1.88,0,0,0.13,0,0,0,0.15,0.44,0.17,0.35,0,0
Salsicha. frango. não aquecida,5,7,7,3,0.08,0,2.08,2.08,1.71,0,36.7,10.4,90,0,1.36,0,106,6.19,9.13,0,2.08,0,6.69,0.11,0,0,456,0.03,33.3,0,0,0.24,0.14,0,0.19,1.1,2.27,1.48,1.47,0.06,0
Salsicha. não aquecida (média de vários tipos),5,7,7,3,0.05,0,3.83,3.83,1.48,0.13,22,17,109,2.69,1.43,0,110,7.35,9.65,0.42,0.05,95.4,6.91,0.07,0,3,597,0.02,30.4,0,0,0.7,0.07,0,0.26,1.38,3.25,1.26,2.19,0,0
Tamarindo. in 0tura,7,4,4,4,0,0,6.61,7.25,0.19,0.03,0,3.71,29,0,0.06,0.64,5.46,0.05,5.91,0.03,0,72.3,0.32,0,0,0,0.04,0.03,2.2,0,0,0,0.01,0.72,0,0.07,0.02,0,0.01,0,0
Tangeri0. Ponkã. in 0tura,10,4,4,2,0.06,0,11.6,12.9,0.42,0.04,0,17.4,54,15.7,0.15,1.27,16.8,0.1,10.4,0.05,0,177,1.14,0.03,0,0,0,0.08,120,33.2,66.5,0,0.03,65.9,0,0,0,0,0,0,0
Tomate. cru,8,10,10,1.5,0.46,0.00,2.22,3.82,0.44,0.07,0.00,6.94,18,15.1,0.30,1.60,21.8,0.17,10.0,0.06,0,191,1.04,0.02,0.00,0.20,3.13,0.09,94.5,50.6,101,0.00,0.04,15.5,0.00,0.15,0.03,0.07,0.02,0.00,0.00
Toucinho defumado (bacon). frito. c/ alho e alecrim,4,9,9,6,0.07,0,0.1,0.16,0.08,0.01,12.7,3.27,98,0.88,0.17,0.06,13.6,9.19,1.68,0,0.72,25.8,3.89,0,0,0.01,17.9,0,1.08,0.23,0.23,0.25,0,0.09,0,0.12,3.74,2.08,2.86,0.08,0
Uva passa. s/ caroço,6,6,6,3,0.12,0.00,75.5,79.2,1.86,0.27,0.00,50.0,326,5.00,1.88,3.70,101,0.46,32.0,0.28,0.77,749,3.07,0.13,0.00,0,11.0,0.11,15.4,0.00,0.00,0.00,0.17,2.30,0.00,0.22,0.05,0.04,0.06,0.00,0.00
Uva. in 0tura,10,5,5,1,0.83,0,44.7,48,1.33,0.27,0,26.5,199,5.32,0.54,3.24,61.1,0.71,21.1,0.35,0,561,1.91,0.04,0,0.35,13.9,0.03,298,9.33,18.7,0,0.05,9.02,0,0,0.03,0.21,0.24,0,0
Uva. suco. concen0ado. envasado,9,9,9,5,0.00,5.00,14.5,14.7,0.16,0.13,0.00,9.32,58,0.00,0.12,0.23,10.0,0,7.06,0.20,0,53.7,0,0.02,0.00,0.40,9.58,0.07,85.1,0.42,0.83,0.00,0.05,21.0,0.00,0.05,0,0,0,0.00,0.00
Vagem. cozida. dre0da. s/ óleo. c/ sal (média de diferentes amos0as),5,7,7,3,0.25,0.00,2.70,5.04,0.37,0.05,0.00,35.7,23,18.7,0.30,2.34,23.0,0.15,9.78,0.41,0,95.1,1.60,0.05,0.32,0.23,127,0,92.8,10.3,20.6,0.00,0,0.69,0.00,0.23,0.02,0.07,0.03,0.00,0.00
Vi0gre. arroz,5,7,7,5,0.00,0,11.8,11.8,0.10,0,0.00,2.00,48,0.00,0.10,0.00,15.0,0.00,6.00,0,0.30,16.0,0.20,0.01,0,0,12.0,0.01,87.9,0.00,0.00,0.10,0.02,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00
Vi0gre. balsâmico,5,9,9,9,0,0,22.7,22.7,0.37,0.03,0.00,27.0,93,0,0.72,0.00,19.0,0.00,12.0,0.13,0,112,0.49,0,0,0,23.0,0,76.5,0.00,0.00,0,0,0.00,0,0.08,0.00,0.00,0.00,0.00,0.00
Vi0gre. maçã,5,7,7,5,0.00,0,6.02,6.02,0.17,0,0.00,7.00,24,0.00,0.20,0.00,8.00,0.00,5.00,0.25,0.00,73.0,0.00,0.00,0,0.10,5.00,0.00,93.8,0,0,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00
Yakisoba. c/ sal,5,9,9,9,0.40,0.00,17.1,18.2,2.71,0.06,14.8,14.0,122,0,0.62,1.05,82.6,2.60,13.3,0.15,2.08,157,7.48,0,0.47,9.79,977,0.16,69.1,30.9,61.7,0,0,0,0,0.68,0.86,0.98,0.58,0.01,0.00
