Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Laranja. Lima. in 0tura,9,3,3,2.5,0.53,0,11.7,14.5,0.57,0.04,0,40.4,60,37.7,0.15,2.77,18.6,0.35,13,0.07,0,166,1.33,0.07,0,0.42,1.42,0.12,123,2.07,4.14,0,0.05,55.7,0,0.15,0,0,0,0,0
Laranja. Pera. in 0tura,9,3,3,2.5,0.44,0,10.2,12.1,0.56,0.04,0,29.8,52,32,0.12,1.91,30.8,0.3,11.7,0.07,0,221,1.21,0.03,0,0.42,0,0.09,125,1.28,2.57,0,0.03,73.1,0,0.08,0,0,0,0,0
Laranja. Seleta. in 0tura,9,3,3,2.5,0.76,0,13.9,17.9,0.53,0.06,0,48.6,72,45.5,0.19,4.02,32.8,0.5,17.7,0.08,0,258,1.16,0.06,0,0.42,1.39,0.11,119,2.07,4.14,0,0.05,76.9,0,0.18,0,0,0,0,0
Lasanha. pronta. indus0ializada (média diferentes sabores),3,10,10,6,1.36,0,12.2,13.7,1.60,0,22.1,82.9,132,33.9,0.67,1.50,108,6.39,18.8,0,1.44,184,5.77,0.09,0,0,351,0.07,72.6,53.2,0,0.39,0.12,2.35,0.00,0.82,2.28,0.56,3.05,0.25,0.00
Lasanha. pronta. indus0ializada. congelada (média de diferentes sabores),5,10,10,6,1.10,0,11.8,13.3,1.60,0.05,27.2,99.9,134,6.58,1.03,1.50,104,6.75,9.50,0.15,1.82,153,5.77,0.10,0,4.37,255,0.04,72.6,36.3,43.8,0.77,0.01,0.47,0.08,1.59,1.84,1.08,3.11,0.13,0.00
Leite. vaca. des0tado. fluído (média de diferentes amos0as),6,4,4,1,0.05,0.00,5.14,5.14,0.75,0.02,3.75,119,37,5.14,0.07,0.00,85.4,0.40,10.3,0,1.49,140,3.12,0.26,0.00,3.93,51.1,0.04,90.6,7.92,10.8,0.51,0,0,0.00,0.40,0.10,0.01,0.25,0,0.00
Leite. vaca. integral. em pó (média de várias amos0as),7,4,4,2.5,0.57,0,39.0,39.0,5.55,0.11,83.7,886,498,36.8,0.52,0.00,1237,26.4,77.1,0,0,1127,26.0,1.02,0.00,16.2,321,0.24,3.08,325,329,3.23,0,8.55,0.50,2.72,6.97,0.49,16.0,0.92,0.00
Leite. vaca. integral. UHT (média de diferentes amos0as),8,4,4,1,0.09,0.00,7.16,7.16,0.78,0.02,10.5,107,65,5.51,0,0.00,82.0,3.04,10.0,0,1.52,133,2.35,0.24,0.00,6.94,63.8,0.04,86.7,42.6,43.6,0.51,0,0,1.19,0.37,0.70,0.10,1.40,0.02,0.00
Leite. vaca. semides0tado. UHT,8,4,4,1,0.03,0.00,6.51,6.51,0.78,0.02,7.31,103,55,5.71,0.07,0.00,79.3,1.81,9.39,0,1.47,128,3.23,0.23,0.00,1.33,61.6,0.04,87.7,27.3,27.8,0.61,0,0,0.00,0.37,0.05,0.07,1.15,0.08,0.00
Lentilha. cozida. dre0da. s/ óleo. c/ sal,4,6,5,2,0.13,0.00,13.1,19.5,1.17,0.21,0.00,19.0,98,165,1.74,6.41,121,0.46,25.4,0.34,0,258,7.26,0,0.45,0.03,201,0.04,71.6,0,0,0.00,0,0,0.00,1.33,0.09,0.26,0.09,0.00,0.00
